date,start time,peak time,end time,Location,flare type,class,AR_Number,MWC,Z value,P value,C value,MC,Area,DSN,year
4/27/1982,1011,1014,1017,N10W,C,C1.2,3707,B,E,K,O,EKO,50,176,1982
4/29/1982,424,432,500,N22W,C,C1.5,3706,B,E,A,O,EAO,10,119,1982
4/29/1982,222,224,307,N11W,C,C2.2,3707,B,E,S,O,ESO,20,119,1982
5/12/1982,2110,2118,2220,N13E,C,C2.8,4012,BG,C,R,I,CRI,40,182,1982
5/17/1982,2110,2111,2139,S17W,C,C1.4,3738,B,B,X,O,BXO,10,110,1982
5/17/1982,2321,2323,2342,N22E,C,C4.4,3740,BG,D,S,O,DSO,50,110,1982
5/26/1982,401,424,439,S21W,C,C1.3,3751,B,B,X,O,BXO,10,170,1982
5/28/1982,30,31,45,N13W,C,C2.1,3739,BG,D,K,I,DKI,70,173,1982
5/28/1982,222,225,244,S21W,C,C2.9,3751,BG,D,K,I,DKI,90,173,1982
5/28/1982,104,114,149,S04E,M,M2.4,3753,BD,E,A,I,EAI,0,173,1982
5/29/1982,131,131,156,S04E,C,C4.8,3753,BD,E,K,I,EKI,30,163,1982
6/3/1982,138,154,214,S13W,C,C4.5,3631,BG,E,K,I,EKI,30,237,1982
6/4/1982,217,230,319,N06E,C,C2.2,3671,B,C,A,O,CAO,60,163,1982
6/5/1982,524,524,541,S06E,C,C2.0,3717,B,D,K,I,DKI,10,93,1982
6/8/1982,2305,2306,2308,S15E,C,C2.3,3840,B,B,X,O,BXO,10,193,1982
6/8/1982,752,753,800,N10E,C,C2.6,3837,BG,F,K,I,FKI,70,193,1982
6/9/1982,146,154,214,N14E,M,M2.2,3886,B,D,H,I,DHI,40,199,1982
6/12/1982,1911,1911,1933,S15W,C,C2.9,4007,BG,E,K,I,EKI,60,232,1982
6/12/1982,1650,2025,2028,S23W,C,C3.2,4019,B,B,X,O,BXO,10,232,1982
6/12/1982,1532,1536,1549,S09W,C,C4.4,4018,B,C,R,O,CRO,20,232,1982
6/13/1982,1132,1134,1156,S10W,M,M2.0,3763,BG,E,K,I,EKI,70,206,1982
6/23/1982,1,9,43,N16W,M,M2.3,3781,BG,F,K,I,FKI,90,172,1982
7/3/1982,308,321,325,N17W,X,X2.7,3628,B,D,S,O,DSO,50,210,1982
7/10/1982,202,202,206,N14W,C,C2.2,3922,BD,H,K,X,HKX,70,77,1982
7/12/1982,239,254,337,S22W,C,C3.7,4019,B,D,A,O,DAO,20,233,1982
7/13/1982,532,533,542,S24E,C,C5.7,3806,BG,D,K,O,DKO,20,288,1982
7/18/1982,322,322,331,N15W,C,C4.8,3804,BG,F,K,I,FKI,10,355,1982
7/20/1982,607,613,620,N20W,C,C5.3,3812,B,F,S,O,FSO,0,252,1982
7/20/1982,201,205,212,N18E,C,C9.3,3817,A,H,H,X,HHX,80,252,1982
7/21/1982,1619,1620,1627,N15W,C,C4.9,3810,BG,D,S,I,DSI,20,181,1982
7/30/1982,1503,1836,1901,S11E,C,C0.6,3829,B,D,S,I,DSI,20,50,1982
7/31/1982,251,315,339,S11E,C,C0.9,3829,B,D,A,O,DAO,70,79,1982
8/1/1982,25,25,35,N09W,C,C2.2,3537,B,D,A,I,DAI,30,131,1982
8/2/1982,955,958,1007,S05W,C,C3.3,3595,B,C,S,O,CSO,80,328,1982
8/4/1982,149,150,201,S08E,C,C1.3,3681,B,C,S,O,CSO,20,183,1982
8/9/1982,30,31,43,N19W,C,C2.0,3897,B,B,X,O,BXO,10,162,1982
8/9/1982,1922,1923,1929,S11E,C,C2.0,3895,B,C,H,O,CHO,10,162,1982
8/10/1982,305,313,335,N08W,C,C1.2,3936,B,B,X,O,BXO,10,78,1982
8/13/1982,542,550,631,S07E,C,C3.0,3843,BG,D,S,I,DSI,80,170,1982
8/15/1982,1335,1411,1427,S12E,C,C1.9,3856,B,D,K,I,DKI,20,150,1982
8/17/1982,1203,1232,1245,N26E,C,C2.2,3862,B,B,X,O,BXO,10,140,1982
8/18/1982,59,106,122,S12W,C,C5.2,3856,BG,E,K,I,EKI,90,158,1982
8/19/1982,509,513,520,S13E,C,C2.0,3867,B,E,H,O,EHO,20,146,1982
8/20/1982,49,50,55,S13E,C,C1.9,3867,B,E,H,O,EHO,20,116,1982
8/21/1982,1330,1343,1353,N14E,C,C3.6,3870,B,C,S,O,CSO,40,119,1982
8/27/1982,1,140,230,N15W,C,C4.7,3870,BD,E,H,I,EHI,0,173,1982
8/27/1982,114,124,154,N15W,C,C2.0,3871,B,B,X,O,BXO,10,173,1982
8/28/1982,2349,2354,2400,N15W,C,C2.6,3871,B,B,X,O,BXO,10,199,1982
8/28/1982,2257,2300,2305,N15W,C,C2.3,3870,B,D,K,I,DKI,20,199,1982
9/2/1982,1950,1953,2004,S19W,C,C6.2,3583,B,D,A,O,DAO,90,298,1982
9/4/1982,144,150,221,N05W,C,C9.6,3671,B,D,A,O,DAO,90,184,1982
9/4/1982,818,838,921,S08E,C,C3.2,3681,B,B,X,O,BXO,10,184,1982
9/18/1982,1217,1404,1503,N19E,C,C1.0,3908,B,D,A,I,DAI,20,151,1982
9/26/1982,1220,1314,1314,N15E,C,C4.8,3917,B,C,S,O,CSO,60,194,1982
9/26/1982,824,828,843,N14E,C,C2.1,3922,B,D,H,I,DHI,30,194,1982
10/3/1982,1213,1236,1308,S06W,C,C4.6,3635,B,B,X,O,BXO,10,175,1982
10/4/1982,218,243,326,N05W,C,C9.6,3671,B,D,S,O,DSO,30,193,1982
10/4/1982,1445,1507,1534,S27E,C,C1.4,3684,B,D,S,I,DSI,10,193,1982
10/6/1982,53,100,136,S08W,M,M5.6,3763,GD,E,K,C,EKC,30,218,1982
10/8/1982,10,12,22,N09W,C,C1.7,3837,BG,F,H,I,FHI,80,233,1982
10/12/1982,41,54,206,N07W,M,M2.3,4014,BG,E,K,I,EKI,10,221,1982
10/16/1982,942,947,1011,N03W,C,C4.8,3949,B,D,R,O,DRO,50,92,1982
10/18/1982,1832,1848,1926,S07E,C,C1.1,3950,B,C,H,O,CHO,20,47,1982
10/21/1982,506,509,516,N14E,C,C1.9,3960,B,D,K,O,DKO,80,135,1982
10/22/1982,304,317,328,N12E,C,C6.0,3960,B,C,S,O,CSO,40,142,1982
10/23/1982,620,620,629,S06E,C,C1.4,3961,B,C,S,O,CSO,20,181,1982
10/24/1982,20,21,43,N13E,C,C2.0,3963,B,D,A,I,DAI,20,206,1982
10/26/1982,1630,1631,1643,S06E,C,C2.1,3961,BG,E,K,I,EKI,40,191,1982
10/27/1982,2330,2336,2352,S06E,C,C1.1,3961,BG,E,K,I,EKI,60,186,1982
10/28/1982,15,16,108,S06E,C,C2.1,3961,BG,E,K,I,EKI,90,146,1982
10/28/1982,130,131,206,S12W,C,C1.1,3955,BD,E,A,I,EAI,50,146,1982
10/31/1982,521,523,525,S07W,C,C1.1,3961,B,D,H,O,DHO,80,103,1982
11/4/1982,1344,1351,1359,N05W,C,C8.2,3671,B,D,S,O,DSO,60,212,1982
11/6/1982,1111,1114,1134,S08W,M,M1.0,3763,BG,E,K,I,EKI,50,205,1982
11/7/1982,235,237,247,S23E,M,M2.2,3806,BG,D,A,I,DAI,70,192,1982
11/9/1982,608,610,615,S21E,C,C1.4,3902,B,D,A,O,DAO,60,121,1982
11/11/1982,216,225,244,S12E,C,C5.7,3987,BG,E,K,I,EKI,0,146,1982
11/12/1982,142,143,147,N07W,C,C6.3,4014,BG,E,K,I,EKI,80,228,1982
11/15/1982,1439,1440,1453,S13E,C,C1.1,3994,B,C,S,O,CSO,10,151,1982
11/16/1982,256,257,301,S13E,C,C1.9,3994,B,D,A,O,DAO,60,130,1982
11/17/1982,307,307,316,S12W,C,C2.0,3987,BD,F,K,C,FKC,60,140,1982
11/18/1982,301,304,323,S12W,C,C3.8,3987,BD,F,K,C,FKC,90,152,1982
11/21/1982,1154,1155,1247,N11W,C,C3.6,4001,B,C,R,O,CRO,20,170,1982
11/22/1982,12,19,32,N11W,C,C3.9,4001,B,D,A,I,DAI,90,183,1982
11/26/1982,230,237,320,S11W,X,X4.5,3994,BG,D,K,I,DKI,40,95,1982
11/28/1982,558,602,609,S11E,C,C1.8,4005,BD,D,K,I,DKI,70,96,1982
11/28/1982,815,827,900,S23W,C,C2.1,4000,B,D,A,O,DAO,40,96,1982
11/29/1982,440,442,502,S11E,C,C1.4,4005,BD,D,H,O,DHO,70,107,1982
11/30/1982,552,616,713,S14E,C,C1.2,4007,BG,E,A,I,EAI,0,99,1982
12/4/1982,905,906,913,S27E,C,C2.0,3684,B,C,S,O,CSO,90,198,1982
12/5/1982,159,200,242,S05W,M,M1.0,3717,BG,E,K,O,EKO,90,109,1982
12/5/1982,2255,2259,2321,S07W,C,C2.3,3722,B,B,X,O,BXO,10,109,1982
12/7/1982,53,100,110,N14E,M,M5.3,3804,GD,F,K,C,FKC,80,246,1982
12/8/1982,140,142,150,N12W,C,C1.9,3839,BG,E,S,I,ESI,20,208,1982
12/11/1982,132,134,201,S12E,C,C2.6,3987,BG,F,K,C,FKC,0,108,1982
12/13/1982,116,116,126,N07W,C,C2.5,4014,B,E,K,O,EKO,50,229,1982
12/16/1982,621,621,630,S11E,C,C4.8,4026,BG,D,A,I,DAI,60,186,1982
12/17/1982,421,427,500,N10W,C,C8.4,4022,BD,D,K,I,DKI,40,157,1982
12/19/1982,949,950,954,N09W,C,C4.4,4022,BD,D,H,I,DHI,0,105,1982
12/20/1982,849,903,950,S11W,C,C6.9,4026,B,D,R,O,DRO,30,84,1982
12/21/1982,1558,1650,1702,S15E,C,C2.2,4033,B,C,K,O,CKO,50,116,1982
12/22/1982,508,513,531,S04W,C,C2.0,4035,B,D,R,O,DRO,30,117,1982
12/22/1982,940,946,1005,S19E,C,C7.9,4036,B,C,A,O,CAO,30,117,1982
12/29/1982,514,514,522,S13W,C,C1.2,4033,BG,F,K,I,FKI,70,130,1982
12/30/1982,140,147,252,S13W,M,M7.1,4033,BG,F,K,I,FKI,50,105,1982
12/31/1982,14,20,49,S13W,C,C8.0,4033,BG,F,K,I,FKI,0,92,1982
1/3/1983,211,218,231,S19E,C,C2.8,4104,B,C,S,O,CSO,70,145,1983
1/4/1983,345,346,413,S17E,C,C0.5,4127,B,D,S,O,DSO,50,72,1983
1/5/1983,712,720,824,S14W,C,C4.7,4154,B,E,H,O,EHO,50,152,1983
1/17/1983,258,306,314,N08E,C,C1.9,4064,BD,D,K,I,DKI,30,140,1983
1/31/1983,1144,1145,1150,S08W,C,C2.1,4072,B,D,S,O,DSO,60,151,1983
2/2/1983,954,954,958,S17E,C,C1.0,4077,BD,D,K,C,DKC,10,122,1983
2/5/1983,1407,1407,1417,S03W,C,C1.8,4157,B,B,X,O,BXO,30,139,1983
2/5/1983,350,356,409,S09E,C,C1.3,4165,B,E,A,O,EAO,20,139,1983
2/7/1983,850,854,907,S20E,C,C1.7,4235,B,C,S,O,CSO,60,78,1983
2/18/1983,632,635,648,S17E,C,C0.6,4090,B,D,S,O,DSO,80,46,1983
2/26/1983,2240,2244,2330,N13W,C,C1.4,4094,B,D,S,O,DSO,60,100,1983
2/27/1983,636,636,653,S17E,C,C1.3,4098,B,C,S,O,CSO,50,126,1983
3/5/1983,402,406,417,S03W,C,C1.3,4157,B,D,K,I,DKI,70,126,1983
3/15/1983,1814,1815,1827,N19W,C,C0.7,4117,B,C,R,O,CRO,20,59,1983
3/18/1983,1329,1334,1339,S11E,C,C0.7,4118,A,H,S,X,HSX,30,117,1983
3/19/1983,308,316,339,S12W,C,C1.1,4115,B,D,K,I,DKI,60,109,1983
3/21/1983,1528,1537,1608,S12W,C,C1.1,4115,BD,D,K,C,DKC,90,116,1983
