date,start time,peak time,end time,Location,flare type,class,AR_Number,MWC,Z value,P value,C value,MC,Area,DSN,year
1/27/1984,1656,1656,1709,N11E,C,C2.2,4399,BD,D,K,C,DKC,80,130,1984
1/31/1984,1952,1956,2015,N12W,C,C2.0,4399,BG,D,K,C,DKC,40,108,1984
2/1/1984,412,414,422,N14W,B,B1.9,4384,B,B,X,O,BXO,60,21,1984
2/3/1984,1456,1458,1504,N10W,C,C2.1,4422,B,D,A,O,DAO,50,109,1984
2/4/1984,1150,1151,1202,N20E,B,B7.7,4458,B,C,S,O,CSO,50,122,1984
2/4/1984,955,958,1018,S12W,C,C9.3,4455,GD,F,K,I,FKI,90,122,1984
2/9/1984,1010,1012,1103,S07W,C,C8.5,4567,BG,D,K,I,DKI,60,72,1984
2/17/1984,1623,1634,1642,N12E,C,C1.9,4421,A,A,X,X,AXX,10,66,1984
2/21/1984,1335,1441,1506,N14E,C,C2.1,4421,BD,F,K,I,FKI,60,98,1984
2/22/1984,54,56,109,N16E,C,C2.0,4421,BD,F,K,C,FKC,80,129,1984
2/29/1984,2232,2235,2256,N11W,C,C3.5,4422,B,D,S,I,DSI,90,114,1984
2/29/1984,318,332,417,S12W,C,C1.7,4423,B,D,H,I,DHI,10,114,1984
3/1/1984,2354,2404,2411,N15W,B,B4.6,4384,B,D,S,O,DSO,60,22,1984
3/2/1984,54,54,117,N12W,C,C2.8,4403,B,D,S,O,DSO,40,86,1984
3/6/1984,146,149,244,S10W,C,C2.6,4500,BG,E,H,O,EHO,80,63,1984
3/13/1984,314,323,332,S10W,C,C1.9,4433,B,D,S,I,DSI,70,110,1984
3/15/1984,803,804,840,N11E,C,C3.6,4441,A,H,S,X,HSX,0,157,1984
3/15/1984,1149,1154,1303,S05W,C,C1.8,4438,B,C,A,O,CAO,70,157,1984
3/16/1984,547,646,709,S05W,C,C2.3,4438,B,E,A,O,EAO,0,164,1984
3/18/1984,32,34,131,S05W,C,C1.1,4438,BG,E,S,I,ESI,30,133,1984
4/8/1984,327,328,335,S17E,B,B2.8,4552,B,C,S,O,CSO,50,34,1984
4/22/1984,355,356,359,S10E,C,C4.4,4474,B,E,H,O,EHO,90,71,1984
4/24/1984,740,740,754,S17W,C,C3.5,4469,B,B,X,O,BXO,10,104,1984
4/25/1984,600,603,613,S13E,C,C3.6,4474,BG,F,K,I,FKI,80,128,1984
4/27/1984,15,17,22,S13E,C,C2.4,4474,BG,F,K,I,FKI,60,157,1984
5/15/1984,102,102,110,N07W,C,C1.9,4481,BG,F,K,O,FKO,50,108,1984
5/19/1984,1930,1932,1946,S14E,C,C2.9,4490,B,C,S,O,CSO,30,94,1984
5/28/1984,1,7,40,S17E,B,B7.8,4499,B,B,X,O,BXO,70,88,1984
6/3/1984,804,807,815,S09E,B,B6.0,4430,B,D,S,O,DSO,80,68,1984
6/4/1984,159,307,435,S14W,C,C7.6,4455,G,F,K,O,FKO,90,91,1984
6/4/1984,730,734,811,S08W,C,C1.2,4460,B,B,X,O,BXO,20,91,1984
6/5/1984,413,416,425,N06E,C,C2.4,4481,B,E,K,O,EKO,80,34,1984
6/8/1984,47,47,58,N07E,B,B7.9,4554,B,C,R,O,CRO,30,33,1984
6/9/1984,1951,1954,2011,N11W,B,B6.2,4575,B,B,X,O,BXO,30,46,1984
6/20/1984,1839,1846,1900,S07W,B,B5.0,4519,B,B,X,O,BXO,10,75,1984
6/22/1984,1357,1501,1518,S15E,B,B6.9,4520,B,C,R,O,CRO,40,68,1984
6/26/1984,102,103,112,S15W,B,B3.4,4520,B,E,K,O,EKO,0,69,1984
7/2/1984,709,710,719,S12W,B,B8.4,4408,B,D,K,I,DKI,10,102,1984
8/9/1984,721,722,728,S04E,B,B1.3,4576,B,B,X,O,BXO,20,29,1984
8/25/1984,58,102,123,S13W,B,B2.2,4565,B,D,A,O,DAO,80,49,1984
8/26/1984,2032,2033,2037,S12W,B,B4.1,4565,B,D,S,O,DSO,80,67,1984
8/26/1984,115,115,133,S05E,B,B6.5,4567,B,D,S,O,DSO,70,67,1984
8/27/1984,1523,1524,1532,S13W,B,B3.9,4565,B,D,S,O,DSO,70,56,1984
8/29/1984,40,44,53,S06E,B,B2.5,4567,B,D,A,O,DAO,10,47,1984
10/2/1984,59,133,213,S13E,C,C5.1,4413,BG,D,H,I,DHI,80,159,1984
10/5/1984,104,120,153,N08E,C,C3.2,4481,BG,F,K,I,FKI,90,108,1984
10/6/1984,2105,2105,2109,S12E,B,B3.2,4509,B,B,X,O,BXO,30,44,1984
10/12/1984,1831,1853,2002,S12E,B,B1.0,4607,B,B,X,O,BXO,20,17,1984
10/19/1984,18,19,29,N05E,B,B2.2,4586,B,C,A,O,CAO,70,26,1984
11/2/1984,123,131,207,S13W,C,C3.7,4408,BG,D,K,I,DKI,50,152,1984
11/4/1984,617,631,642,N10E,B,B7.6,4468,B,C,S,O,CSO,30,27,1984
11/22/1984,515,518,523,S12E,B,B3.8,4598,BG,E,H,O,EHO,40,42,1984
11/22/1984,1251,1251,1307,N19W,B,B2.7,4597,B,D,A,O,DAO,20,42,1984
11/24/1984,140,140,143,S11E,B,B1.3,4598,B,E,H,O,EHO,20,55,1984
11/25/1984,652,652,657,S11E,B,B2.6,4600,B,C,R,O,CRO,50,69,1984
11/26/1984,37,38,45,S12E,B,B1.3,4598,BG,E,K,O,EKO,30,51,1984
12/1/1984,1731,1733,1742,S17E,C,C1.3,4393,B,D,H,O,DHO,40,67,1984
12/6/1984,1818,1821,1840,S07E,B,B4.4,4511,B,C,R,I,CRI,70,55,1984
1/4/1985,1234,1331,1430,S26E,B,B1.0,4640,A,H,X,X,HXX,10,31,1985
1/14/1985,35,36,46,S08E,B,B2.9,4616,B,D,A,I,DAI,50,28,1985
1/19/1985,1631,1643,1656,S10W,B,B3.1,4617,B,D,A,O,DAO,60,29,1985
1/24/1985,44,45,113,S11W,C,C4.0,4617,BG,E,H,O,EHO,0,36,1985
2/20/1985,242,247,253,N03E,B,B7.5,4629,B,D,H,O,DHO,80,35,1985
3/4/1985,1612,1615,1622,N06W,B,B2.1,4637,B,D,S,O,DSO,40,29,1985
3/25/1985,2333,2334,2410,N07E,B,B4.1,4637,B,D,K,O,DKO,50,29,1985
4/26/1985,24,25,35,N05E,C,C1.9,4647,G,E,K,I,EKI,40,46,1985
5/2/1985,341,343,350,S07E,B,B1.5,4623,B,B,X,O,BXO,10,26,1985
5/13/1985,119,119,127,S14E,B,B3.8,4652,B,D,H,I,DHI,20,38,1985
6/7/1985,1834,1838,1851,S17E,B,B4.2,4672,B,D,K,I,DKI,40,56,1985
7/5/1985,751,752,756,S11E,B,B5.4,4652,B,D,H,I,DHI,40,38,1985
7/7/1985,12,13,18,S16E,C,C1.3,4672,BG,D,K,I,DKI,50,92,1985
8/7/1985,548,603,611,S14W,B,B8.2,4671,B,D,S,O,DSO,90,87,1985
8/11/1985,410,413,417,N13W,B,B9.8,4700,B,D,A,O,DAO,90,20,1985
10/7/1985,1722,1724,1730,S08W,C,C1.1,4674,BG,D,A,O,DAO,70,107,1985
10/19/1985,458,500,507,N04E,B,B1.5,4698,BG,C,K,O,CKO,60,37,1985
10/20/1985,2106,2112,2116,N04E,B,B7.9,4698,BG,D,K,O,DKO,70,52,1985
10/23/1985,1430,1505,1515,N05W,C,C6.6,4699,BG,E,A,O,EAO,70,79,1985
10/26/1985,359,432,514,N07W,M,M1.8,4698,A,H,S,X,HSX,40,47,1985
11/6/1985,303,304,309,N02E,B,B2.1,4663,B,D,H,O,DHO,40,77,1985
11/11/1985,516,521,527,S11E,B,B1.2,4701,B,C,A,O,CAO,80,19,1985
11/12/1985,2111,2121,2145,N04E,C,C1.1,4708,B,C,R,O,CRO,50,16,1985
11/20/1985,1637,1646,1656,N02W,B,B1.5,4704,B,B,X,O,BXO,10,31,1985
12/15/1985,2216,2217,2233,S09E,C,C2.4,4709,B,D,R,O,DRO,30,43,1985
1/5/1986,552,556,600,N06W,B,B3.3,4727,B,D,A,O,DAO,40,18,1986
1/8/1986,1737,1739,1748,N09E,B,B1.5,4741,B,D,H,O,DHO,60,16,1986
1/31/1986,1301,1302,1308,S08E,B,B6.3,4711,A,H,H,X,HHX,20,11,1986
4/2/1986,1027,1033,1049,S02E,M,M6.4,4713,B,C,S,O,CSO,60,66,1986
4/3/1986,447,448,451,N01E,B,B3.7,4717,BD,D,K,C,DKC,80,29,1986
4/24/1986,1217,1220,1250,N07E,C,C2.1,4727,B,C,R,O,CRO,40,70,1986
4/29/1986,425,428,435,N04W,B,B1.0,4726,B,D,K,O,DKO,90,34,1986
5/7/1986,1709,1711,1721,N28W,B,B2.9,4734,B,D,R,O,DRO,60,18,1986
6/11/1986,221,237,246,N02W,B,B2.2,4755,B,C,R,O,CRO,30,31,1986
8/2/1986,241,241,245,S08W,B,B5.8,4711,BG,D,S,I,DSI,10,65,1986
10/19/1986,15,43,210,N22E,M,M4.7,4750,B,F,H,I,FHI,40,35,1986
10/20/1986,323,325,331,N22E,C,C1.1,4750,BG,F,K,I,FKI,50,44,1986
10/22/1986,1903,1903,1923,N22E,B,B6.4,4750,B,F,K,I,FKI,70,65,1986
10/24/1986,121,126,149,N23W,B,B5.7,4750,B,E,A,I,EAI,60,86,1986
10/26/1986,153,153,202,N24W,B,B4.5,4750,B,C,A,O,CAO,80,68,1986
10/30/1986,1714,1715,1719,N02E,B,B4.0,4755,B,B,X,O,BXO,20,70,1986
1/9/1987,742,745,752,S24E,C,C1.0,4848,A,A,X,X,AX,10,41,1987
2/8/1987,342,343,349,S25E,B,B2.5,4835,B,B,X,X,BX,40,58,1987
2/10/1987,1721,1732,1814,S24E,B,B6.3,4859,B,B,X,O,BXO,10,26,1987
2/11/1987,238,246,305,S24E,B,B6.5,4882,B,F,A,O,FAO,60,70,1987
3/11/1987,213,219,224,N29W,B,B9.4,4875,B,E,A,I,EAI,20,70,1987
4/4/1987,1922,1924,1929,S22E,B,B4.0,4786,B,B,X,O,BXO,20,15,1987
4/16/1987,1445,1448,1522,S32W,B,B8.4,4787,B,E,A,O,EAO,0,70,1987
4/17/1987,48,48,59,S33W,B,B6.6,4790,B,E,H,O,EHO,60,48,1987
5/4/1987,4,12,18,S22E,C,C1.0,4786,B,B,X,O,BXO,30,32,1987
5/12/1987,1447,1448,1453,S23E,B,B2.4,4901,B,B,X,O,BXO,20,20,1987
5/17/1987,837,845,910,S21W,C,C4.9,4808,B,D,R,O,DRO,50,81,1987
5/23/1987,1546,1549,1603,N29W,B,B7.5,4811,B,E,H,C,EHC,20,47,1987
6/12/1987,239,240,244,S22E,B,B6.4,4901,B,C,R,O,CRO,50,26,1987
6/14/1987,844,844,914,N28E,B,B4.1,4815,A,A,X,X,AX,10,11,1987
6/24/1987,29,32,48,N18W,B,B3.4,4819,B,C,S,O,CSO,20,41,1987
6/26/1987,332,339,349,S32W,B,B6.7,4817,A,A,X,X,AX,10,44,1987
7/8/1987,204,204,211,S24W,B,B5.5,4835,BG,D,S,I,DSI,90,47,1987
7/10/1987,50,55,111,N33E,B,B7.7,4862,B,C,S,O,CSO,40,41,1987
7/24/1987,22,35,55,S28W,C,C3.7,4826,B,E,S,I,ESI,80,106,1987
7/31/1987,347,347,356,N30W,B,B4.9,4831,B,C,S,O,CSO,60,73,1987
8/3/1987,1542,1738,1828,N06W,B,B1.9,4778,B,D,A,I,DAI,80,26,1987
8/4/1987,1832,1854,1904,S33E,B,B4.4,4787,B,D,S,O,DSO,50,74,1987
8/9/1987,31,32,42,S22W,B,B5.8,4849,B,E,K,I,EKI,60,83,1987
8/13/1987,1338,1341,1355,S23E,M,M1.2,4842,B,D,K,O,DKO,10,58,1987
8/16/1987,1810,1815,1821,S23E,B,B3.6,4842,B,D,S,O,DSO,90,68,1987
8/24/1987,1340,1343,1354,N15E,B,B5.5,4845,B,D,A,O,DAO,90,43,1987
8/25/1987,142,143,212,N16E,C,C1.8,4845,B,C,A,O,CAO,80,43,1987
8/26/1987,48,102,150,N16E,C,C2.0,4845,B,B,X,O,BXO,30,42,1987
9/3/1987,637,637,646,N06W,B,B3.6,4778,B,C,S,O,CSO,90,17,1987
9/8/1987,226,234,246,S23W,C,C1.5,4835,BG,E,H,I,EHI,50,48,1987
9/12/1987,106,118,123,S21W,C,C1.1,4901,B,D,S,O,DSO,80,44,1987
9/17/1987,1114,1114,1126,S33W,B,B2.1,4853,B,C,S,O,CSO,40,31,1987
9/20/1987,1340,1355,1426,S31W,B,B5.9,4857,B,B,X,O,BXO,10,47,1987
9/28/1987,11,29,45,S20E,B,B3.8,4859,A,A,X,X,AX,10,27,1987
10/16/1987,916,919,923,S24W,C,C2.1,4870,B,D,S,O,DSO,0,106,1987
10/24/1987,1308,1308,1313,N31E,B,B3.6,4875,A,A,X,X,AX,10,23,1987
10/29/1987,2309,2309,2313,S22W,B,B6.1,4881,B,D,A,O,DAO,30,86,1987
11/9/1987,425,425,436,S22W,C,C1.6,4849,B,E,S,O,ESO,20,72,1987
11/16/1987,26,31,50,S24E,C,C1.1,4890,B,C,K,O,CKO,0,40,1987
11/19/1987,414,423,446,S22E,C,C2.7,4891,B,C,S,O,CSO,50,62,1987
11/20/1987,52,53,100,S25W,C,C1.1,4890,B,D,A,O,DAO,90,60,1987
11/20/1987,412,418,535,S21E,M,M1.3,4891,B,D,S,O,DSO,90,60,1987
11/26/1987,311,325,346,S21W,C,C3.3,4891,B,C,S,O,CSO,60,58,1987
12/4/1987,1017,1017,1036,S33E,B,B6.5,4787,B,E,A,O,EAO,70,93,1987
12/9/1987,2,2,11,S33E,B,B4.4,4853,B,C,S,O,CSO,20,55,1987
12/10/1987,2126,2130,2142,N22E,B,B5.3,4866,B,E,K,O,EKO,20,55,1987
12/30/1987,1508,1510,1528,S35W,C,C1.0,4915,B,C,R,O,CRO,20,45,1987
1/3/1988,1414,1419,1434,N17E,B,B4.7,4957,B,D,A,O,DAO,90,81,1988
1/3/1988,825,826,835,S21E,B,B7.2,4958,B,D,A,I,DAI,40,81,1988
1/7/1988,501,501,526,S20E,C,C4.3,5060,GD,F,K,C,FKC,30,160,1988
1/10/1988,723,727,732,N22W,M,M1.8,5162,B,B,X,O,BXO,20,136,1988
1/11/1988,2013,2021,2149,N16E,C,C2.3,5211,A,A,X,X,AX,10,158,1988
1/12/1988,338,339,351,N18E,C,C2.6,5260,B,D,S,O,DSO,50,165,1988
1/13/1988,639,645,652,N21W,C,C2.7,4923,B,D,S,O,DSO,80,91,1988
1/15/1988,1402,1407,1427,S18E,C,C1.1,4927,B,C,A,O,CAO,30,108,1988
1/16/1988,1746,1748,1813,S18E,C,C1.7,4927,B,E,K,I,EKI,10,99,1988
1/18/1988,32,32,40,S19E,C,C1.4,4927,B,E,A,O,EAO,40,81,1988
1/20/1988,149,150,201,S31E,B,B5.9,4931,B,D,A,O,DAO,0,102,1988
1/25/1988,1721,1724,1741,S21W,B,B3.7,4927,B,E,K,I,EKI,50,39,1988
1/27/1988,101,103,108,N19W,B,B4.8,4934,B,D,S,O,DSO,50,65,1988
2/3/1988,600,601,605,N23E,B,B2.2,4961,A,A,X,X,AX,20,79,1988
2/3/1988,22,29,35,S20E,B,B6.1,4958,B,D,A,O,DAO,50,79,1988
2/4/1988,538,542,548,S20W,C,C1.3,4977,B,D,A,O,DAO,0,119,1988
2/6/1988,339,340,348,S25W,C,C2.1,5027,B,F,K,O,FKO,60,117,1988
2/7/1988,41,100,202,S20W,M,M3.0,5060,BG,F,K,I,FKI,20,167,1988
2/16/1988,1520,1521,1526,N20E,B,B1.9,4949,B,F,K,O,FKO,20,48,1988
2/19/1988,108,110,113,S10W,B,B4.5,4951,B,D,S,I,DSI,90,75,1988
2/19/1988,814,815,819,N21E,B,B3.7,4949,B,F,H,O,FHO,20,75,1988
3/7/1988,16,18,32,N13W,C,C2.5,5062,BD,F,K,C,FKC,50,164,1988
3/17/1988,205,209,242,S23E,C,C2.8,4964,BG,F,H,I,FHI,80,118,1988
3/19/1988,138,138,159,S23W,C,C2.0,4964,BG,E,K,I,EKI,40,126,1988
3/21/1988,320,329,335,N21E,C,C2.6,4972,B,B,X,O,BXO,50,97,1988
3/22/1988,9,9,25,N21E,B,B5.5,4972,B,C,S,O,CSO,70,91,1988
3/31/1988,2044,2046,2125,N18W,C,C3.2,4975,B,E,A,I,EAI,80,144,1988
4/3/1988,1701,1707,1727,S21W,B,B6.7,4958,B,D,S,O,DSO,80,92,1988
4/13/1988,12,12,28,N23E,C,C1.3,4990,B,E,A,I,EAI,20,148,1988
4/15/1988,238,242,400,N25E,C,C3.9,4995,B,B,X,O,BXO,20,179,1988
4/21/1988,7,8,27,N22W,C,C1.3,4990,GD,F,H,O,FHO,40,98,1988
5/3/1988,22,23,37,N23W,B,B8.8,4961,B,D,A,O,DAO,60,77,1988
5/6/1988,1437,1438,1453,N17W,C,C1.2,5032,B,F,A,I,FAI,0,153,1988
5/6/1988,1955,1957,2005,S24W,C,C1.2,5038,B,B,X,O,BXO,20,153,1988
5/15/1988,2030,2031,2039,S18W,B,B2.1,5018,A,A,X,X,AX,10,54,1988
5/15/1988,113,115,126,S17W,B,B5.2,5014,B,C,X,O,CXO,30,54,1988
5/17/1988,33,34,42,S18W,B,B6.2,5018,B,D,A,O,DAO,30,70,1988
5/22/1988,137,147,202,S19E,C,C1.4,5025,B,B,X,O,BXO,30,37,1988
5/22/1988,1101,1106,1120,S24E,C,C4.6,5027,B,C,S,O,CSO,60,37,1988
5/24/1988,402,405,456,S26E,C,C2.4,5027,BG,E,A,I,EAI,20,59,1988
5/26/1988,1,2,20,S25E,C,C2.5,5027,BG,E,A,I,EAI,90,78,1988
5/29/1988,531,538,634,S24W,M,M1.0,5027,BG,F,K,C,FKC,80,91,1988
5/30/1988,235,240,255,S23W,C,C1.6,5027,BG,F,A,C,FAC,80,103,1988
5/31/1988,18,26,53,S24W,C,C5.7,5027,BG,F,A,I,FAI,0,106,1988
6/3/1988,1916,1923,1953,N23W,C,C1.3,4961,B,D,A,O,DAO,30,73,1988
6/6/1988,1950,1952,2003,S25W,C,C1.3,5038,B,C,A,O,CAO,70,177,1988
6/6/1988,122,127,137,N18W,C,C1.1,5032,B,E,S,I,ESI,70,177,1988
6/8/1988,1635,1638,1722,N28W,C,C3.8,5092,B,F,S,I,FSI,0,154,1988
6/9/1988,1835,1836,1843,S20W,C,C1.2,5131,G,E,A,O,EAO,10,110,1988
6/12/1988,1114,1118,1129,N14W,C,C3.3,5258,B,B,X,O,BXO,30,192,1988
6/12/1988,748,750,819,N25E,C,C1.7,5264,B,D,A,O,DAO,90,192,1988
6/16/1988,1236,1239,1311,N12W,C,C1.2,5041,B,D,A,O,DAO,40,99,1988
6/19/1988,222,226,243,N14W,C,C2.0,5041,B,C,R,O,CRO,40,85,1988
6/21/1988,1549,1551,1559,S26E,B,B6.7,5054,A,A,X,X,AX,10,116,1988
7/3/1988,34,35,57,N22W,B,B2.5,4961,B,C,R,I,CRI,10,78,1988
7/10/1988,1347,1405,1420,S27E,C,C3.9,5179,B,B,X,O,BXO,10,160,1988
7/17/1988,1332,1333,1356,S21E,C,C1.8,5075,BG,E,K,I,EKI,50,143,1988
7/20/1988,305,306,316,S17W,B,B9.0,5079,B,D,S,O,DSO,40,122,1988
7/24/1988,250,252,253,N12E,C,C1.1,5085,B,D,S,O,DSO,40,93,1988
7/28/1988,2207,2225,2229,N28E,C,C1.3,5095,B,D,A,O,DAO,40,135,1988
7/28/1988,441,443,445,N25E,C,C2.0,5092,B,D,S,O,DSO,60,135,1988
8/1/1988,20,23,35,S23E,C,C1.9,4921,B,D,A,O,DAO,20,68,1988
8/3/1988,1757,1804,1817,N29W,C,C1.1,4963,B,C,A,O,CAO,20,80,1988
8/3/1988,423,424,433,S24W,B,B3.1,4958,B,D,A,O,DAO,40,80,1988
8/4/1988,23,25,39,S18E,C,C7.8,4985,B,C,A,O,CAO,40,114,1988
8/6/1988,2030,2031,2107,S17E,C,C1.8,5036,B,E,A,I,EAI,70,184,1988
8/7/1988,936,941,951,N23E,C,C7.4,5069,B,D,A,I,DAI,80,122,1988
8/12/1988,1956,2005,2016,N19E,C,C5.3,5265,B,C,A,O,CAO,90,143,1988
8/16/1988,438,439,449,N16W,B,B8.3,5105,BG,E,A,O,EAO,0,114,1988
8/18/1988,346,348,357,N23E,B,B6.1,5109,B,B,X,O,BXO,10,59,1988
8/28/1988,1410,1412,1417,N15W,C,C1.0,5115,B,C,S,O,CSO,80,182,1988
9/7/1988,2316,2318,2324,N28E,C,C1.5,5073,B,B,X,O,BXO,10,95,1988
9/18/1988,421,421,424,S36E,C,C1.0,5158,B,C,A,O,CAO,70,115,1988
9/20/1988,222,225,244,N28E,C,C6.7,5159,B,C,S,O,CSO,80,182,1988
9/25/1988,607,622,645,N18E,C,C1.4,5168,B,D,A,O,DAO,80,177,1988
9/27/1988,1123,1123,1134,N19E,C,C1.8,5168,B,D,S,O,DSO,30,187,1988
9/30/1988,58,101,135,N19W,C,C6.0,5168,B,E,S,I,ESI,70,126,1988
10/11/1988,604,613,645,N13E,M,M9.5,5231,B,B,X,O,BXO,30,164,1988
10/13/1988,632,644,713,S27W,C,C2.2,5179,B,E,A,O,EAO,0,188,1988
10/14/1988,2002,2002,2010,S15W,C,C1.3,5185,A,A,X,X,AX,20,164,1988
10/14/1988,854,857,912,N14W,B,B9.4,5182,B,D,A,O,DAO,60,164,1988
10/19/1988,1638,1641,1647,N20E,C,C3.4,5200,BD,F,K,I,FKI,90,166,1988
10/21/1988,216,217,242,N20E,C,C1.2,5200,B,F,K,I,FKI,90,146,1988
10/25/1988,1911,1912,1918,N21W,C,C1.1,5200,BG,E,K,I,EKI,30,155,1988
11/1/1988,2148,2205,2320,N31W,C,C2.4,4919,B,C,R,O,CRO,60,90,1988
11/6/1988,754,758,807,N13E,B,B9.0,5041,B,C,A,O,CAO,30,132,1988
11/14/1988,146,155,230,N21E,M,M2.3,5240,B,B,X,O,BXO,20,174,1988
11/17/1988,541,555,653,N33W,C,C5.4,5229,BG,F,K,I,FKI,40,246,1988
11/18/1988,1717,1724,1820,N19E,C,C3.1,5240,B,D,S,I,DSI,90,219,1988
11/22/1988,625,625,633,N28W,C,C4.6,5241,B,E,A,O,EAO,0,164,1988
11/22/1988,2054,2107,2217,N21W,C,C3.7,5240,BG,E,A,I,EAI,30,164,1988
12/6/1988,1041,1042,1050,N13E,C,C1.3,5041,B,D,S,O,DSO,30,94,1988
12/9/1988,719,720,731,S11E,C,C1.7,5148,B,D,A,O,DAO,60,105,1988
12/13/1988,1028,1030,1030,N20W,C,C7.6,5265,B,C,S,O,CSO,80,241,1988
12/14/1988,1044,1046,1055,S30E,C,C7.2,5273,B,E,A,I,EAI,40,275,1988
12/14/1988,507,513,520,N20E,C,C2.5,5279,B,D,S,I,DSI,50,275,1988
12/15/1988,47,50,130,N26E,C,C6.3,5278,B,E,K,O,EKO,70,290,1988
12/16/1988,838,841,850,N26E,X,X4.7,5278,B,D,K,I,DKI,90,292,1988
12/17/1988,254,257,306,S32W,C,C7.1,5273,B,E,K,I,EKI,20,299,1988
12/17/1988,458,500,553,N28E,M,M3.2,5278,BD,E,K,I,EKI,0,299,1988
12/18/1988,217,220,241,N32W,C,C5.5,5274,B,C,R,O,CRO,30,287,1988
12/19/1988,2107,2111,2120,S31W,C,C5.3,5273,BG,F,K,I,FKI,60,288,1988
12/19/1988,2000,2004,2011,S31W,C,C4.8,5275,B,B,X,O,BXO,20,288,1988
12/20/1988,856,903,923,N21E,M,M1.0,5285,B,D,K,I,DKI,80,281,1988
12/21/1988,612,613,623,N27W,C,C5.2,5278,BG,D,K,I,DKI,70,271,1988
12/22/1988,941,941,951,N26W,C,C3.0,5278,BG,D,K,C,DKC,0,329,1988
12/23/1988,1930,1942,2030,S16E,C,C7.0,5292,B,D,A,O,DAO,20,303,1988
12/25/1988,2229,2300,2304,S17E,C,C8.2,5292,B,D,A,O,DAO,30,236,1988
12/31/1988,1304,1305,1329,N21W,C,C3.5,5290,B,E,A,I,EAI,0,222,1988
1/2/1989,502,505,534,N20W,C,C5.3,5329,B,D,S,O,DSO,80,178,1989
1/4/1989,1743,1752,1824,N17E,C,C1.7,5427,B,C,R,O,CRO,10,132,1989
1/5/1989,108,110,115,N28E,M,M5.5,5470,B,D,A,O,DAO,10,131,1989
1/6/1989,417,431,453,S22W,C,C2.1,5515,B,D,A,I,DAI,70,197,1989
1/7/1989,2021,2023,2027,N26W,C,C1.4,5555,B,C,K,O,CKO,60,182,1989
1/11/1989,1613,1617,1639,N17E,C,C7.1,5776,B,D,K,O,DKO,80,211,1989
1/13/1989,1845,1926,2027,N18E,M,M1.4,5321,B,E,K,I,EKI,90,268,1989
1/13/1989,3,8,126,S30E,M,M1.5,5312,BG,F,K,C,FKC,40,268,1989
1/14/1989,215,333,354,S31W,M,M6.2,5312,BG,F,K,C,FKC,0,246,1989
1/15/1989,758,759,806,S31W,M,M1.0,5312,BG,F,K,C,FKC,0,231,1989
1/29/1989,1603,1607,1613,N17W,C,C2.8,5329,BG,F,K,I,FKI,0,220,1989
1/30/1989,347,352,405,N17W,M,M1.3,5329,BG,F,K,I,FKI,50,205,1989
1/30/1989,803,804,814,S19W,C,C2.0,5336,B,D,A,I,DAI,10,205,1989
2/2/1989,821,824,834,S22W,C,C3.2,5334,B,E,S,I,ESI,30,182,1989
2/3/1989,900,911,935,N18W,M,M2.4,5383,B,D,A,I,DAI,20,139,1989
2/5/1989,115,116,120,N29E,C,C4.4,5470,B,D,S,I,DSI,70,133,1989
2/9/1989,141,143,153,S18E,C,C7.2,5671,BG,F,K,C,FKC,30,218,1989
2/11/1989,330,334,342,N25E,C,C2.5,5769,B,E,K,I,EKI,20,220,1989
2/13/1989,323,324,344,N30W,C,C8.4,5354,BG,F,K,C,FKC,0,277,1989
2/16/1989,340,348,513,N22E,M,M2.2,5362,B,E,A,O,EAO,80,247,1989
2/18/1989,1537,1541,1549,N16E,C,C2.2,5373,B,C,S,O,CSO,60,206,1989
2/19/1989,1225,1231,1252,S12E,C,C3.5,5368,BG,F,A,I,FAI,60,207,1989
2/22/1989,430,435,449,S12W,C,C4.8,5368,BG,E,A,I,EAI,0,180,1989
2/24/1989,1217,1221,1251,S13W,C,C3.9,5368,B,F,K,C,FKC,40,193,1989
2/25/1989,1856,1925,2001,N17W,C,C4.2,5373,B,E,K,I,EKI,60,239,1989
2/25/1989,337,338,345,S13W,C,C2.8,5368,B,F,K,I,FKI,20,239,1989
2/27/1989,636,637,646,N17W,C,C2.4,5373,B,E,K,I,EKI,60,186,1989
2/28/1989,2140,2144,2159,N38E,C,C4.2,5380,B,B,X,O,BXO,30,162,1989
3/1/1989,304,307,317,S19W,C,C5.9,5303,B,D,A,I,DAI,50,190,1989
3/3/1989,1755,1802,1824,N12W,C,C2.1,5377,B,C,H,O,CHO,0,134,1989
3/7/1989,136,140,143,S14E,C,C6.8,5574,B,D,A,O,DAO,0,183,1989
3/8/1989,2221,2227,2311,S27E,C,C3.4,5622,B,B,X,O,BXO,30,265,1989
3/8/1989,325,337,342,S37W,C,C1.7,5627,B,D,A,O,DAO,20,265,1989
3/12/1989,1441,1444,1453,N19W,C,C5.2,5806,B,D,K,I,DKI,60,259,1989
3/14/1989,41,47,111,N34W,C,C9.5,5395,BG,F,K,C,FKC,0,235,1989
3/18/1989,205,209,235,S15E,C,C7.6,5403,BG,D,A,I,DAI,70,213,1989
3/20/1989,358,401,409,S25E,M,M2.5,5417,B,D,A,O,DAO,90,205,1989
3/24/1989,2028,2029,2053,N17W,M,M1.2,5409,BG,E,K,I,EKI,10,201,1989
3/29/1989,653,710,712,S18E,C,C2.8,5428,B,D,R,O,DRO,10,123,1989
